지점,지점명,일시,평균 풍속(m/s),최다 풍향(16방위)
248,장수,2020,1.5,360
251,고창군,2018,2,20
251,고창군,2019,1.5,360
251,고창군,2020,1.6,340
252,영광군,2018,2.1,360
252,영광군,2019,1.7,360
252,영광군,2020,1.7,360
253,김해시,2018,2.1,320
253,김해시,2019,2.1,320
253,김해시,2020,1.9,320
254,순창군,2018,1.4,270
254,순창군,2019,1.5,270
254,순창군,2020,1.8,270
255,북창원,2018,1.5,340
255,북창원,2019,1.3,340
255,북창원,2020,1.5,320
257,양산시,2018,2.3,230
257,양산시,2019,2.1,230
257,양산시,2020,2.2,230
258,보성군,2018,,290
258,보성군,2019,3,290
258,보성군,2020,3.2,290
259,강진군,2018,2.4,320
259,강진군,2019,2.2,320
259,강진군,2020,2.2,320
260,장흥,2018,1.8,340
260,장흥,2019,1.8,340
260,장흥,2020,1.7,340
261,해남,2018,2.1,290
261,해남,2019,2,290
261,해남,2020,,290
262,고흥,2018,1.3,340
262,고흥,2019,1.4,340
262,고흥,2020,1.5,340
263,의령군,2018,1.2,90
263,의령군,2019,1.2,340
263,의령군,2020,1.4,340
264,함양군,2018,1.2,250
264,함양군,2019,1.2,250
264,함양군,2020,1.3,250
266,광양시,2018,1.9,290
266,광양시,2019,1.8,290
266,광양시,2020,1.7,290
268,진도군,2018,2.3,360
268,진도군,2019,2.3,340
268,진도군,2020,2.6,320
271,봉화,2018,1.5,340
271,봉화,2019,1.5,340
271,봉화,2020,1.3,340
272,영주,2018,2.5,320
272,영주,2019,2.4,320
272,영주,2020,2.4,290
273,문경,2018,2,320
273,문경,2019,1.9,290
273,문경,2020,1.8,290
276,청송군,2018,1.5,270
276,청송군,2019,1.4,270
276,청송군,2020,1.5,270
277,영덕,2018,2.9,180
277,영덕,2019,2.7,180
277,영덕,2020,2.8,180
278,의성,2018,1.3,360
278,의성,2019,1.2,360
278,의성,2020,1.1,290
279,구미,2018,1.1,290
279,구미,2019,1.1,290
279,구미,2020,1.1,290
281,영천,2018,1.8,290
281,영천,2019,1.8,290
281,영천,2020,1.8,290
283,경주시,2018,2.4,180
283,경주시,2019,2.3,180
283,경주시,2020,2.6,180
284,거창,2018,1.3,270
284,거창,2019,1.3,270
284,거창,2020,1.4,250
285,합천,2018,1.3,200
285,합천,2019,1.1,200
285,합천,2020,1.1,230
288,밀양,2018,1.1,20
288,밀양,2019,1,340
288,밀양,2020,1.1,340
289,산청,2018,1.7,290
289,산청,2019,1.6,290
289,산청,2020,1.8,290
294,거제,2018,1.8,110
294,거제,2019,1.7,110
294,거제,2020,1.6,290
295,남해,2018,1.3,250
295,남해,2019,1.3,250
295,남해,2020,1.4,250
