연도,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계,상용자가,,,총발전량,
,일반수력,양수,소수력,소계,무연탄,유연탄,중유,가스,소계,일반,열공급,계,,,,,,,한전구입,자가소비,계,사업자+한전구입,사업자+상용자가
2020,3205979,3271019,671251,7148249,2094210,185241232,1503944,586627,189426013,0,0,111759245,160183721,31056508,45567264,404673,4940046,550485720,1676440,24949741,26626181,552162160,577111901
2019,2229038.12,3458384.755,559640.9271,6247063.802,2592225.311,216483725.3,1842477.512,0.012,220918428.1,0,0,110288811.4,145909669.5,30526256.64,46058095.14,578911.9149,1366662.865,561893899.4,1146405.437,23765699,24912104,563040304.8,586806004
2018,2748401,3911035,611017,7270453,2677040,228975999,5845247,0,237498286,0,0,116835607,133505261,27176674,47032922,528453,0,569847656,798850,22258122,23056972,570646507,592904629
